id,medicament_id,description
1,6,insuffisance hépatique ou transaminases élevées ;
2,6,"en association avec les antiprotéases (tels que le nelfinavir) et les médicaments contenant du l'itraconazole, du kétoconazole, du posaconazole, du voriconazole, de l'érythromycine, de la clarithromycine, de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, de la ciclosporine, du danazol ou de l'acide fusidique ;"
3,6,grossesse ;
4,6,allaitement.
5,7,insuffisance hépatique ou transaminases élevées ;
6,7,"en association avec les antiprotéases (tels que le nelfinavir) et les médicaments contenant du l'itraconazole, du kétoconazole, du posaconazole, du voriconazole, de l'érythromycine, de la clarithromycine, de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, de la ciclosporine, du danazol ou de l'acide fusidique ;"
7,7,grossesse ;
8,7,allaitement.
9,8,insuffisance hépatique ou transaminases élevées ;
10,8,"en association avec les antiprotéases (tels que le nelfinavir) et les médicaments contenant du l'itraconazole, du kétoconazole, du posaconazole, du voriconazole, de l'érythromycine, de la clarithromycine, de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, de la ciclosporine, du danazol ou de l'acide fusidique ;"
11,8,grossesse ;
12,8,allaitement.
13,9,"insuffisance hépatique ou transaminases élevées,"
14,9,"grossesse,"
15,9,allaitement.
16,10,insuffisance hépatique ou transaminases élevées ;
17,10,"en association avec les antiprotéases (tels que le nelfinavir) et les médicaments contenant du l'itraconazole, du kétoconazole, du posaconazole, du voriconazole, de l'érythromycine, de la clarithromycine, de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, de la ciclosporine, du danazol ou de l'acide fusidique ;"
18,10,grossesse ;
19,10,allaitement.
20,11,insuffisance hépatique ou transaminases élevées ;
21,11,"en association avec les antiprotéases (tels que le nelfinavir) et les médicaments contenant du l'itraconazole, du kétoconazole, du posaconazole, du voriconazole, de l'érythromycine, de la clarithromycine, de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, de la ciclosporine, du danazol ou de l'acide fusidique ;"
22,11,grossesse ;
23,11,allaitement.
24,12,insuffisance hépatique ou transaminases élevées ;
25,12,"en association avec les antiprotéases (tels que le nelfinavir) et les médicaments contenant du l'itraconazole, du kétoconazole, du posaconazole, du voriconazole, de l'érythromycine, de la clarithromycine, de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, de la ciclosporine, du danazol ou de l'acide fusidique ;"
26,12,grossesse ;
27,12,allaitement.
28,13,insuffisance hépatique ou transaminases élevées ;
29,13,"en association avec les antiprotéases (tels que le nelfinavir) et les médicaments contenant du l'itraconazole, du kétoconazole, du posaconazole, du voriconazole, de l'érythromycine, de la clarithromycine, de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, de la ciclosporine, du danazol ou de l'acide fusidique ;"
30,13,grossesse ;
31,13,allaitement.
32,14,insuffisance hépatique ou transaminases élevées ;
33,14,"en association avec les antiprotéases (tels que le nelfinavir) et les médicaments contenant du l'itraconazole, du kétoconazole, du posaconazole, du voriconazole, de l'érythromycine, de la clarithromycine, de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, de la ciclosporine, du danazol ou de l'acide fusidique ;"
34,14,grossesse ;
35,14,allaitement.
36,15,insuffisance hépatique ou transaminases élevées ;
37,15,"en association avec les antiprotéases (tels que le nelfinavir) et les médicaments contenant du l'itraconazole, du kétoconazole, du posaconazole, du voriconazole, de l'érythromycine, de la clarithromycine, de la télithromycine, du bocéprévir, du télaprévir, du gemfibrozil, de la ciclosporine, du danazol ou de l'acide fusidique ;"
38,15,grossesse ;
39,15,allaitement.
