id,medicament_id,frequence,effet
1,6,Fréquents (entre 1 à 10 % des cas),douleur musculaire
2,6,Fréquents (entre 1 à 10 % des cas),augmentation des transaminases.
3,6,Peu fréquents (moins de 1 % des patients),crampes
4,6,Peu fréquents (moins de 1 % des patients),douleurs articulaires ou cervicales
5,6,Peu fréquents (moins de 1 % des patients),mal de dos
6,6,Peu fréquents (moins de 1 % des patients),faiblesse musculaire
7,6,Peu fréquents (moins de 1 % des patients),digestion difficile
8,6,Peu fréquents (moins de 1 % des patients),brûlures d'estomac
9,6,Peu fréquents (moins de 1 % des patients),nausées
10,6,Peu fréquents (moins de 1 % des patients),douleur abdominale
11,6,Peu fréquents (moins de 1 % des patients),diarrhée
12,6,Peu fréquents (moins de 1 % des patients),ballonnements
13,6,Peu fréquents (moins de 1 % des patients),bouche sèche
14,6,Peu fréquents (moins de 1 % des patients),fatigue
15,6,Peu fréquents (moins de 1 % des patients),malaise
16,6,Peu fréquents (moins de 1 % des patients),gonflement des membres
17,6,Peu fréquents (moins de 1 % des patients),maux de tête
18,6,Peu fréquents (moins de 1 % des patients),fourmillements des extrémités
19,6,Peu fréquents (moins de 1 % des patients),éruption cutanée
20,6,Peu fréquents (moins de 1 % des patients),démangeaisons
21,6,Peu fréquents (moins de 1 % des patients),urticaire
22,6,Peu fréquents (moins de 1 % des patients),troubles du sommeil.
23,6,Rares,troubles visuels
24,6,Rares,gynécomastie
25,6,Rares,réaction allergique.
26,6,De fréquence indéterminée,étourdissements
27,6,De fréquence indéterminée,essoufflement
28,6,De fréquence indéterminée,perte de l'appétit
29,6,De fréquence indéterminée,bouffées de chaleur
30,6,De fréquence indéterminée,troubles de la mémoire
31,6,De fréquence indéterminée,faiblesse musculaire persistante
32,6,De fréquence indéterminée,voire toxicité musculaire
33,6,De fréquence indéterminée,pancréatite
34,6,De fréquence indéterminée,hépatite
35,6,De fréquence indéterminée,atteinte pulmonaire (voir Attention).
36,6,D'autres effets indésirables ont également été rapportés avec certaines statines,cauchemars
37,6,D'autres effets indésirables ont également été rapportés avec certaines statines,troubles sexuels
38,6,D'autres effets indésirables ont également été rapportés avec certaines statines,diabète.
39,7,Fréquents (entre 1 à 10 % des cas),douleur musculaire
40,7,Fréquents (entre 1 à 10 % des cas),augmentation des transaminases.
41,7,Peu fréquents (moins de 1 % des patients),crampes
42,7,Peu fréquents (moins de 1 % des patients),douleurs articulaires ou cervicales
43,7,Peu fréquents (moins de 1 % des patients),mal de dos
44,7,Peu fréquents (moins de 1 % des patients),faiblesse musculaire
45,7,Peu fréquents (moins de 1 % des patients),digestion difficile
46,7,Peu fréquents (moins de 1 % des patients),brûlures d'estomac
47,7,Peu fréquents (moins de 1 % des patients),nausées
48,7,Peu fréquents (moins de 1 % des patients),douleur abdominale
49,7,Peu fréquents (moins de 1 % des patients),diarrhée
50,7,Peu fréquents (moins de 1 % des patients),ballonnements
51,7,Peu fréquents (moins de 1 % des patients),bouche sèche
52,7,Peu fréquents (moins de 1 % des patients),fatigue
53,7,Peu fréquents (moins de 1 % des patients),malaise
54,7,Peu fréquents (moins de 1 % des patients),gonflement des membres
55,7,Peu fréquents (moins de 1 % des patients),maux de tête
56,7,Peu fréquents (moins de 1 % des patients),fourmillements des extrémités
57,7,Peu fréquents (moins de 1 % des patients),éruption cutanée
58,7,Peu fréquents (moins de 1 % des patients),démangeaisons
59,7,Peu fréquents (moins de 1 % des patients),urticaire
60,7,Peu fréquents (moins de 1 % des patients),troubles du sommeil.
61,7,Rares,troubles visuels
62,7,Rares,gynécomastie
63,7,Rares,réaction allergique.
64,7,De fréquence indéterminée,étourdissements
65,7,De fréquence indéterminée,essoufflement
66,7,De fréquence indéterminée,perte de l'appétit
67,7,De fréquence indéterminée,bouffées de chaleur
68,7,De fréquence indéterminée,troubles de la mémoire
69,7,De fréquence indéterminée,faiblesse musculaire persistante
70,7,De fréquence indéterminée,voire toxicité musculaire
71,7,De fréquence indéterminée,pancréatite
72,7,De fréquence indéterminée,hépatite
73,7,De fréquence indéterminée,atteinte pulmonaire (voir Attention).
74,7,D'autres effets indésirables ont également été rapportés avec certaines statines,cauchemars
75,7,D'autres effets indésirables ont également été rapportés avec certaines statines,troubles sexuels
76,7,D'autres effets indésirables ont également été rapportés avec certaines statines,diabète.
77,8,Fréquents (entre 1 à 10 % des cas),douleur musculaire
78,8,Fréquents (entre 1 à 10 % des cas),augmentation des transaminases.
79,8,Peu fréquents (moins de 1 % des patients),crampes
80,8,Peu fréquents (moins de 1 % des patients),douleurs articulaires ou cervicales
81,8,Peu fréquents (moins de 1 % des patients),mal de dos
82,8,Peu fréquents (moins de 1 % des patients),faiblesse musculaire
83,8,Peu fréquents (moins de 1 % des patients),digestion difficile
84,8,Peu fréquents (moins de 1 % des patients),brûlures d'estomac
85,8,Peu fréquents (moins de 1 % des patients),nausées
86,8,Peu fréquents (moins de 1 % des patients),douleur abdominale
87,8,Peu fréquents (moins de 1 % des patients),diarrhée
88,8,Peu fréquents (moins de 1 % des patients),ballonnements
89,8,Peu fréquents (moins de 1 % des patients),bouche sèche
90,8,Peu fréquents (moins de 1 % des patients),fatigue
91,8,Peu fréquents (moins de 1 % des patients),malaise
92,8,Peu fréquents (moins de 1 % des patients),gonflement des membres
93,8,Peu fréquents (moins de 1 % des patients),maux de tête
94,8,Peu fréquents (moins de 1 % des patients),fourmillements des extrémités
95,8,Peu fréquents (moins de 1 % des patients),éruption cutanée
96,8,Peu fréquents (moins de 1 % des patients),démangeaisons
97,8,Peu fréquents (moins de 1 % des patients),urticaire
98,8,Peu fréquents (moins de 1 % des patients),troubles du sommeil.
99,8,Rares,troubles visuels
100,8,Rares,gynécomastie
101,8,Rares,réaction allergique.
102,8,De fréquence indéterminée,étourdissements
103,8,De fréquence indéterminée,essoufflement
104,8,De fréquence indéterminée,perte de l'appétit
105,8,De fréquence indéterminée,bouffées de chaleur
106,8,De fréquence indéterminée,troubles de la mémoire
107,8,De fréquence indéterminée,faiblesse musculaire persistante
108,8,De fréquence indéterminée,voire toxicité musculaire
109,8,De fréquence indéterminée,pancréatite
110,8,De fréquence indéterminée,hépatite
111,8,De fréquence indéterminée,atteinte pulmonaire (voir Attention).
112,8,D'autres effets indésirables ont également été rapportés avec certaines statines,cauchemars
113,8,D'autres effets indésirables ont également été rapportés avec certaines statines,troubles sexuels
114,8,D'autres effets indésirables ont également été rapportés avec certaines statines,diabète.
115,10,Peu fréquents (moins de 1 % des patients),crampes
116,10,Peu fréquents (moins de 1 % des patients),douleurs articulaires
117,10,Peu fréquents (moins de 1 % des patients),musculaires ou cervicales
118,10,Peu fréquents (moins de 1 % des patients),mal de dos
119,10,Peu fréquents (moins de 1 % des patients),faiblesse
120,10,Peu fréquents (moins de 1 % des patients),digestion difficile
121,10,Peu fréquents (moins de 1 % des patients),brûlures d'estomac
122,10,Peu fréquents (moins de 1 % des patients),nausées douleur abdominale
123,10,Peu fréquents (moins de 1 % des patients),diarrhée
124,10,Peu fréquents (moins de 1 % des patients),ballonnements
125,10,Peu fréquents (moins de 1 % des patients),bouche sèche
126,10,Peu fréquents (moins de 1 % des patients),fatigue
127,10,Peu fréquents (moins de 1 % des patients),malaise
128,10,Peu fréquents (moins de 1 % des patients),gonflement des membres
129,10,Peu fréquents (moins de 1 % des patients),maux de tête
130,10,Peu fréquents (moins de 1 % des patients),fourmillements des extrémités
131,10,Peu fréquents (moins de 1 % des patients),démangeaisons
132,10,Peu fréquents (moins de 1 % des patients),éruption cutanée
133,10,Peu fréquents (moins de 1 % des patients),urticaire
134,10,Peu fréquents (moins de 1 % des patients),troubles du sommeil
135,10,Peu fréquents (moins de 1 % des patients),augmentation des transaminases.
136,10,De fréquence indéterminée,étourdissements
137,10,De fréquence indéterminée,essoufflement
138,10,De fréquence indéterminée,perte de l'appétit
139,10,De fréquence indéterminée,bouffées de chaleur
140,10,De fréquence indéterminée,troubles de la mémoire
141,10,De fréquence indéterminée,faiblesse musculaire persistante
142,10,De fréquence indéterminée,voire toxicité musculaire
143,10,De fréquence indéterminée,réaction allergique
144,10,De fréquence indéterminée,hépatite (voir Attention).
145,11,Fréquents (entre 1 à 10 % des cas),douleur musculaire
146,11,Fréquents (entre 1 à 10 % des cas),augmentation des transaminases.
147,11,Peu fréquents (moins de 1 % des patients),crampes
148,11,Peu fréquents (moins de 1 % des patients),douleurs articulaires ou cervicales
149,11,Peu fréquents (moins de 1 % des patients),mal de dos
150,11,Peu fréquents (moins de 1 % des patients),faiblesse musculaire
151,11,Peu fréquents (moins de 1 % des patients),digestion difficile
152,11,Peu fréquents (moins de 1 % des patients),brûlures d'estomac
153,11,Peu fréquents (moins de 1 % des patients),nausées
154,11,Peu fréquents (moins de 1 % des patients),douleur abdominale
155,11,Peu fréquents (moins de 1 % des patients),diarrhée
156,11,Peu fréquents (moins de 1 % des patients),ballonnements
157,11,Peu fréquents (moins de 1 % des patients),bouche sèche
158,11,Peu fréquents (moins de 1 % des patients),fatigue
159,11,Peu fréquents (moins de 1 % des patients),malaise
160,11,Peu fréquents (moins de 1 % des patients),gonflement des membres
161,11,Peu fréquents (moins de 1 % des patients),maux de tête
162,11,Peu fréquents (moins de 1 % des patients),fourmillements des extrémités
163,11,Peu fréquents (moins de 1 % des patients),éruption cutanée
164,11,Peu fréquents (moins de 1 % des patients),démangeaisons
165,11,Peu fréquents (moins de 1 % des patients),urticaire
166,11,Peu fréquents (moins de 1 % des patients),troubles du sommeil.
167,11,Rares,troubles visuels
168,11,Rares,gynécomastie
169,11,Rares,réaction allergique.
170,11,De fréquence indéterminée,étourdissements
171,11,De fréquence indéterminée,essoufflement
172,11,De fréquence indéterminée,perte de l'appétit
173,11,De fréquence indéterminée,bouffées de chaleur
174,11,De fréquence indéterminée,troubles de la mémoire
175,11,De fréquence indéterminée,faiblesse musculaire persistante
176,11,De fréquence indéterminée,voire toxicité musculaire
177,11,De fréquence indéterminée,pancréatite
178,11,De fréquence indéterminée,hépatite
179,11,De fréquence indéterminée,atteinte pulmonaire (voir Attention).
180,11,D'autres effets indésirables ont également été rapportés avec certaines statines,cauchemars
181,11,D'autres effets indésirables ont également été rapportés avec certaines statines,troubles sexuels
182,11,D'autres effets indésirables ont également été rapportés avec certaines statines,diabète.
183,12,Fréquents (entre 1 à 10 % des cas),douleur musculaire
184,12,Fréquents (entre 1 à 10 % des cas),augmentation des transaminases.
185,12,Peu fréquents (moins de 1 % des patients),crampes
186,12,Peu fréquents (moins de 1 % des patients),douleurs articulaires ou cervicales
187,12,Peu fréquents (moins de 1 % des patients),mal de dos
188,12,Peu fréquents (moins de 1 % des patients),faiblesse musculaire
189,12,Peu fréquents (moins de 1 % des patients),digestion difficile
190,12,Peu fréquents (moins de 1 % des patients),brûlures d'estomac
191,12,Peu fréquents (moins de 1 % des patients),nausées
192,12,Peu fréquents (moins de 1 % des patients),douleur abdominale
193,12,Peu fréquents (moins de 1 % des patients),diarrhée
194,12,Peu fréquents (moins de 1 % des patients),ballonnements
195,12,Peu fréquents (moins de 1 % des patients),bouche sèche
196,12,Peu fréquents (moins de 1 % des patients),fatigue
197,12,Peu fréquents (moins de 1 % des patients),malaise
198,12,Peu fréquents (moins de 1 % des patients),gonflement des membres
199,12,Peu fréquents (moins de 1 % des patients),maux de tête
200,12,Peu fréquents (moins de 1 % des patients),fourmillements des extrémités
201,12,Peu fréquents (moins de 1 % des patients),éruption cutanée
202,12,Peu fréquents (moins de 1 % des patients),démangeaisons
203,12,Peu fréquents (moins de 1 % des patients),urticaire
204,12,Peu fréquents (moins de 1 % des patients),troubles du sommeil.
205,12,Rares,troubles visuels
206,12,Rares,gynécomastie
207,12,Rares,réaction allergique.
208,12,De fréquence indéterminée,étourdissements
209,12,De fréquence indéterminée,essoufflement
210,12,De fréquence indéterminée,perte de l'appétit
211,12,De fréquence indéterminée,bouffées de chaleur
212,12,De fréquence indéterminée,troubles de la mémoire
213,12,De fréquence indéterminée,faiblesse musculaire persistante
214,12,De fréquence indéterminée,voire toxicité musculaire
215,12,De fréquence indéterminée,pancréatite
216,12,De fréquence indéterminée,hépatite
217,12,De fréquence indéterminée,atteinte pulmonaire (voir Attention).
218,12,D'autres effets indésirables ont également été rapportés avec certaines statines,cauchemars
219,12,D'autres effets indésirables ont également été rapportés avec certaines statines,troubles sexuels
220,12,D'autres effets indésirables ont également été rapportés avec certaines statines,diabète.
221,13,Fréquents (entre 1 à 10 % des cas),douleur musculaire
222,13,Fréquents (entre 1 à 10 % des cas),augmentation des transaminases.
223,13,Peu fréquents (moins de 1 % des patients),crampes
224,13,Peu fréquents (moins de 1 % des patients),douleurs articulaires ou cervicales
225,13,Peu fréquents (moins de 1 % des patients),mal de dos
226,13,Peu fréquents (moins de 1 % des patients),faiblesse musculaire
227,13,Peu fréquents (moins de 1 % des patients),digestion difficile
228,13,Peu fréquents (moins de 1 % des patients),brûlures d'estomac
229,13,Peu fréquents (moins de 1 % des patients),nausées
230,13,Peu fréquents (moins de 1 % des patients),douleur abdominale
231,13,Peu fréquents (moins de 1 % des patients),diarrhée
232,13,Peu fréquents (moins de 1 % des patients),ballonnements
233,13,Peu fréquents (moins de 1 % des patients),bouche sèche
234,13,Peu fréquents (moins de 1 % des patients),fatigue
235,13,Peu fréquents (moins de 1 % des patients),malaise
236,13,Peu fréquents (moins de 1 % des patients),gonflement des membres
237,13,Peu fréquents (moins de 1 % des patients),maux de tête
238,13,Peu fréquents (moins de 1 % des patients),fourmillements des extrémités
239,13,Peu fréquents (moins de 1 % des patients),éruption cutanée
240,13,Peu fréquents (moins de 1 % des patients),démangeaisons
241,13,Peu fréquents (moins de 1 % des patients),urticaire
