id,nom_medicament,nom_generique,classe_therapeutique,famille_pharmacologique,posologie_adulte,posologie_enfant,dose_maximale,frequence_administration,grossesse,allaitement
1,BYOOVIZ,,Ophtalmologie > Affections rétiniennes > Affections dégénératives rétiniennes > Ranibizumab > Rétinopathie vasculaire,RANIBIZUMAB,,,,,,
2,CYTOTECT CP BIOTEST,,,,,,,,,
3,AZZALURE,,Dermatologie > Toxine botulique > Correction des rides,TOXINE BOTULIQUE,,,,,,
4,EZMEKLY,,Classification ATC: ANTINEOPLASIQUES ET IMMUNOMODULATEURS > ANTINEOPLASIQUES > INHIBITEURS DE PROTEINE KINASE > INHIBITEURS DE PROTEINE KINASE ACTIVEE PAR MITOGENE (MEK) > MIRDAMETINIB,MIRDAMETINIB,,,,,,
5,DZUVEO,,Classification pharmacothérapeutique VIDAL: Antalgiques - Antipyrétiques - Antispasmodiques > Antalgiques opioïdes de palier III > Sufentanil || Classification ATC: SYSTEME NERVEUX > ANESTHESIQUES > ANESTHESIQUES GENERAUX > ANESTHESIQUES OPIOIDES > SUFENTANIL,Sufentanil,,,,,,
6,EZETIMIBE/SIMVASTATINE VIATRIS,INEGY 10 mg/40 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Simvastatine + ézétimibe > Métabolisme - Diabète - Nutrition,SIMVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour.,Enfant de plus de 10 ans : le traitement est initié sous la surveillance d'un spécialiste qui fixe la posologie.,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est contre-indiqué chez la femme enceinte. Il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, arrêtez la prise de ce médicament et consultez votre médecin.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
7,EZETIMIBE/SIMVASTATINE ZENTIVA,INEGY 10 mg/40 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Simvastatine + ézétimibe > Métabolisme - Diabète - Nutrition,SIMVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour.,Enfant de plus de 10 ans : le traitement est initié sous la surveillance d'un spécialiste qui fixe la posologie.,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est contre-indiqué chez la femme enceinte. Il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, arrêtez la prise de ce médicament et consultez votre médecin.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
8,EZETIMIBE/SIMVASTATINE ZYDUS,INEGY 10 mg/40 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Simvastatine + ézétimibe > Métabolisme - Diabète - Nutrition,SIMVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour.,Enfant de plus de 10 ans : le traitement est initié sous la surveillance d'un spécialiste qui fixe la posologie.,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est contre-indiqué chez la femme enceinte. Il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, arrêtez la prise de ce médicament et consultez votre médecin.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
9,EZETROL,,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteur de l'absorption intestinale du cholestérol : ézétimibe > Métabolisme - Diabète - Nutrition,Hypolipémiant,Adulte : 1 comprimé par jour.,,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est déconseillé sauf en cas de nécessité absolue. En association avec une statine, son usage est contre-indiqué chez la femme enceinte.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
10,EZETIMIBE/SIMVASTATINE EG,INEGY 10 mg/40 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Simvastatine + ézétimibe > Métabolisme - Diabète - Nutrition,Hypolipémiants en association,Adulte : 1 comprimé par jour.,Enfant de plus de 10 ans : le traitement est initié sous la surveillance d'un spécialiste qui fixe la posologie.,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est contre-indiqué chez la femme enceinte. Il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, arrêtez la prise de ce médicament et consultez votre médecin.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
