id,medicament_id,description
1,6,"Ce médicament peut être toxique pour le foie ou les muscles. Signalez à votre médecin toute fatigue anormale, perte d'appétit, douleur ou faiblesse musculaire. Des analyses de sang peuvent être prescrites afin de vérifier que le médicament est bien supporté."
2,6,"Certaines situations peuvent accroître le risque de toxicité musculaire et nécessiter un suivi particulier : personne de plus de 65 ans, femme, insuffisance rénale, hypothyroïdie non contrôlée par un traitement, antécédent personnel ou familial de maladie musculaire, antécédent d'atteinte musculaire avec un traitement hypolipidémiant, abus d'alcool."
3,6,"Des études ont montré que les médicaments de la famille des statines peuvent augmenter le taux de sucre dans le sang (glycémie). En cas de diabète ou de prédisposition au diabète (taux élevé de sucre ou de triglycérides dans le sang, surpoids, hypertension artérielle), votre médecin pourra décider d'une surveillance renforcée."
4,6,"De rares atteintes pulmonaires ont été observées avec certaines statines, le plus souvent lors de traitement prolongé. En cas d'essoufflement, de toux persistante ou de fatigue inexpliquée, informez-en votre médecin."
5,6,La consommation de jus de pamplemousse doit être évitée pendant le traitement : augmentation du risque d'effets indésirables de la simvastatine.
6,6,Conducteur : ce médicament peut parfois provoquer des étourdissements.
7,7,"Ce médicament peut être toxique pour le foie ou les muscles. Signalez à votre médecin toute fatigue anormale, perte d'appétit, douleur ou faiblesse musculaire. Des analyses de sang peuvent être prescrites afin de vérifier que le médicament est bien supporté."
8,7,"Certaines situations peuvent accroître le risque de toxicité musculaire et nécessiter un suivi particulier : personne de plus de 65 ans, femme, insuffisance rénale, hypothyroïdie non contrôlée par un traitement, antécédent personnel ou familial de maladie musculaire, antécédent d'atteinte musculaire avec un traitement hypolipidémiant, abus d'alcool."
9,7,"Des études ont montré que les médicaments de la famille des statines peuvent augmenter le taux de sucre dans le sang (glycémie). En cas de diabète ou de prédisposition au diabète (taux élevé de sucre ou de triglycérides dans le sang, surpoids, hypertension artérielle), votre médecin pourra décider d'une surveillance renforcée."
10,7,"De rares atteintes pulmonaires ont été observées avec certaines statines, le plus souvent lors de traitement prolongé. En cas d'essoufflement, de toux persistante ou de fatigue inexpliquée, informez-en votre médecin."
11,7,La consommation de jus de pamplemousse doit être évitée pendant le traitement : augmentation du risque d'effets indésirables de la simvastatine.
12,7,Conducteur : ce médicament peut parfois provoquer des étourdissements.
13,8,"Ce médicament peut être toxique pour le foie ou les muscles. Signalez à votre médecin toute fatigue anormale, perte d'appétit, douleur ou faiblesse musculaire. Des analyses de sang peuvent être prescrites afin de vérifier que le médicament est bien supporté."
14,8,"Certaines situations peuvent accroître le risque de toxicité musculaire et nécessiter un suivi particulier : personne de plus de 65 ans, femme, insuffisance rénale, hypothyroïdie non contrôlée par un traitement, antécédent personnel ou familial de maladie musculaire, antécédent d'atteinte musculaire avec un traitement hypolipidémiant, abus d'alcool."
15,8,"Des études ont montré que les médicaments de la famille des statines peuvent augmenter le taux de sucre dans le sang (glycémie). En cas de diabète ou de prédisposition au diabète (taux élevé de sucre ou de triglycérides dans le sang, surpoids, hypertension artérielle), votre médecin pourra décider d'une surveillance renforcée."
16,8,"De rares atteintes pulmonaires ont été observées avec certaines statines, le plus souvent lors de traitement prolongé. En cas d'essoufflement, de toux persistante ou de fatigue inexpliquée, informez-en votre médecin."
17,8,La consommation de jus de pamplemousse doit être évitée pendant le traitement : augmentation du risque d'effets indésirables de la simvastatine.
18,8,Conducteur : ce médicament peut parfois provoquer des étourdissements.
19,9,"Ce médicament, notamment lorsqu'il est utilisé avec une statine, peut être toxique pour le foie ou les muscles. Signalez à votre médecin toute fatigue anormale, perte d'appétit, douleur ou faiblesse musculaire. Des analyses de sang peuvent être pratiquées afin de vérifier que le médicament est bien supporté."
20,9,Des précautions sont nécessaires en cas d'insuffisance hépatique.
21,10,"Ce médicament peut être toxique pour le foie ou les muscles. Signalez à votre médecin toute fatigue anormale, perte d'appétit, douleur ou faiblesse musculaire. Des analyses de sang peuvent être prescrites afin de vérifier que le médicament est bien supporté."
22,10,"Certaines situations peuvent accroître le risque de toxicité musculaire et nécessiter un suivi particulier : personne de plus de 65 ans, femme, insuffisance rénale, hypothyroïdie non contrôlée par un traitement, antécédent personnel ou familial de maladie musculaire, antécédent d'atteinte musculaire avec un traitement hypolipidémiant, abus d'alcool."
23,10,"Des études ont montré que les médicaments de la famille des statines peuvent augmenter le taux de sucre dans le sang (glycémie). En cas de diabète ou de prédisposition au diabète (taux élevé de sucre ou de triglycérides dans le sang, surpoids, hypertension artérielle), votre médecin pourra décider d'une surveillance renforcée."
24,10,"De rares atteintes pulmonaires ont été observées avec certaines statines, le plus souvent lors de traitement prolongé. En cas d'essoufflement, de toux persistante ou de fatigue inexpliquée, informez-en votre médecin."
25,10,La consommation de jus de pamplemousse doit être évitée pendant le traitement : augmentation du risque d'effets indésirables de la simvastatine.
26,10,Conducteur : ce médicament peut parfois provoquer des étourdissements.
27,11,"Ce médicament peut être toxique pour le foie ou les muscles. Signalez à votre médecin toute fatigue anormale, perte d'appétit, douleur ou faiblesse musculaire. Des analyses de sang peuvent être prescrites afin de vérifier que le médicament est bien supporté."
28,11,"Certaines situations peuvent accroître le risque de toxicité musculaire et nécessiter un suivi particulier : personne de plus de 65 ans, femme, insuffisance rénale, hypothyroïdie non contrôlée par un traitement, antécédent personnel ou familial de maladie musculaire, antécédent d'atteinte musculaire avec un traitement hypolipidémiant, abus d'alcool."
29,11,"Des études ont montré que les médicaments de la famille des statines peuvent augmenter le taux de sucre dans le sang (glycémie). En cas de diabète ou de prédisposition au diabète (taux élevé de sucre ou de triglycérides dans le sang, surpoids, hypertension artérielle), votre médecin pourra décider d'une surveillance renforcée."
30,11,"De rares atteintes pulmonaires ont été observées avec certaines statines, le plus souvent lors de traitement prolongé. En cas d'essoufflement, de toux persistante ou de fatigue inexpliquée, informez-en votre médecin."
31,11,La consommation de jus de pamplemousse doit être évitée pendant le traitement : augmentation du risque d'effets indésirables de la simvastatine.
32,11,Conducteur : ce médicament peut parfois provoquer des étourdissements.
33,12,"Ce médicament peut être toxique pour le foie ou les muscles. Signalez à votre médecin toute fatigue anormale, perte d'appétit, douleur ou faiblesse musculaire. Des analyses de sang peuvent être prescrites afin de vérifier que le médicament est bien supporté."
34,12,"Certaines situations peuvent accroître le risque de toxicité musculaire et nécessiter un suivi particulier : personne de plus de 65 ans, femme, insuffisance rénale, hypothyroïdie non contrôlée par un traitement, antécédent personnel ou familial de maladie musculaire, antécédent d'atteinte musculaire avec un traitement hypolipidémiant, abus d'alcool."
35,12,"Des études ont montré que les médicaments de la famille des statines peuvent augmenter le taux de sucre dans le sang (glycémie). En cas de diabète ou de prédisposition au diabète (taux élevé de sucre ou de triglycérides dans le sang, surpoids, hypertension artérielle), votre médecin pourra décider d'une surveillance renforcée."
36,12,"De rares atteintes pulmonaires ont été observées avec certaines statines, le plus souvent lors de traitement prolongé. En cas d'essoufflement, de toux persistante ou de fatigue inexpliquée, informez-en votre médecin."
37,12,La consommation de jus de pamplemousse doit être évitée pendant le traitement : augmentation du risque d'effets indésirables de la simvastatine.
38,12,Conducteur : ce médicament peut parfois provoquer des étourdissements.
39,13,"Ce médicament peut être toxique pour le foie ou les muscles. Signalez à votre médecin toute fatigue anormale, perte d'appétit, douleur ou faiblesse musculaire. Des analyses de sang peuvent être prescrites afin de vérifier que le médicament est bien supporté."
40,13,"Certaines situations peuvent accroître le risque de toxicité musculaire et nécessiter un suivi particulier : personne de plus de 65 ans, femme, insuffisance rénale, hypothyroïdie non contrôlée par un traitement, antécédent personnel ou familial de maladie musculaire, antécédent d'atteinte musculaire avec un traitement hypolipidémiant, abus d'alcool."
