id,medicament_id,forme,dosage
1,1,"BYOOVIZ 10 mg/ml S inj Fl/0,23ml+Aig | Cip : 3400930278048 ; Modalités de conservation : Avant ouverture : 2° < t < 8° durant 4 ans (Conserver à l'abri de la lumière, Conserver au réfrigérateur, Conserver dans son emballage, Ne pas congeler), < 30° durant 2 mois | Statut: Commercialisé","10 mg/ml S inj Fl/0,23ml+Aig"
2,2,CYTOTECT CP BIOTEST 100 U/ml S perf Fl/10ml [AAC] | Cip : 3400959098504 | Statut: Non commercialisé à ce jour,100 U/ml S perf Fl/10ml [AAC]
3,2,CYTOTECT CP BIOTEST 100 U/ml S perf Fl/50ml [AAC] | Cip : 3400959098672 | Statut: Non commercialisé à ce jour,100 U/ml S perf Fl/50ml [AAC]
4,3,"AZZALURE 125 unités Speywood Pdr sol inj 2Fl | Cip : 3400939342009 ; Modalités de conservation : Avant ouverture : 2° < t < 8° durant 24 mois (Conserver au réfrigérateur, Ne pas congeler) | Statut: Commercialisé",125 unités Speywood Pdr sol inj 2Fl
5,3,"AZZALURE 125 unités Speywood Pdr sol inj Fl | Cip : 3400939341927 ; Modalités de conservation : Avant ouverture : 2° < t < 8° durant 24 mois (Conserver au réfrigérateur, Ne pas congeler) | Statut: Commercialisé",125 unités Speywood Pdr sol inj Fl
6,4,"EZMEKLY 1 mg Cpr disp Fl/42 [AAP] | Cip : 3400930326848 ; Modalités de conservation : Avant ouverture : < 30° durant 36 mois (Conserver à l'abri de la lumière, Conserver dans son emballage) Après ouverture : durant 6 heures | Statut: Commercialisé",1 mg Cpr disp Fl/42 [AAP]
7,4,"EZMEKLY 1 mg Cpr disp Fl/84 [AAP] | Cip : 3400930326855 ; Modalités de conservation : Avant ouverture : < 30° durant 36 mois (Conserver à l'abri de la lumière, Conserver dans son emballage) Après ouverture : durant 6 heures | Statut: Commercialisé",1 mg Cpr disp Fl/84 [AAP]
8,5,"DZUVEO 30 µg Cpr subl B/5 | Cip : 3400955076018 ; Modalités de conservation : Avant ouverture : durant 4 ans (Conserver à l'abri de l'air, Conserver à l'abri de la lumière, Conserver dans son emballage) | Statut: Commercialisé",30 µg Cpr subl B/5
9,6,comprimé (blanc) ; boîte de 30,10 mg/20 mg
10,6,comprimé (blanc) ; boîte de 90,10 mg/20 mg
11,6,comprimé (blanc) ; boîte de 30,10 mg/40 mg
12,6,comprimé (blanc) ; boîte de 90,10 mg/40 mg
13,6,EZETIMIBE/SIMVASTATINE VIATRIS 10 mg/40 mg Cpr Plq/30x1 | Cip : 3400930025901 ; Modalités de conservation : Avant ouverture : durant 24 mois | Statut: Commercialisé,10 mg/40 mg Cpr Plq/30x1
14,6,EZETIMIBE/SIMVASTATINE VIATRIS 10 mg/40 mg Cpr Plq/90x1 | Cip : 3400930025918 ; Modalités de conservation : Avant ouverture : durant 24 mois | Statut: Commercialisé,10 mg/40 mg Cpr Plq/90x1
15,6,EZETIMIBE/SIMVASTATINE VIATRIS 10 mg/20 mg Cpr Plq/30x1 | Cip : 3400930025819 ; Modalités de conservation : Avant ouverture : durant 24 mois | Statut: Commercialisé,10 mg/20 mg Cpr Plq/30x1
16,6,EZETIMIBE/SIMVASTATINE VIATRIS 10 mg/20 mg Cpr Plq/90x1 | Cip : 3400930025826 ; Modalités de conservation : Avant ouverture : durant 24 mois | Statut: Commercialisé,10 mg/20 mg Cpr Plq/90x1
17,7,comprimé (brun clair) ; boîte de 30,10 mg/20 mg
18,7,comprimé (brun clair) ; boîte de 90,10 mg/20 mg
19,7,comprimé (brun clair) ; boîte de 30,10 mg/40 mg
20,7,comprimé (brun clair) ; boîte de 90,10 mg/40 mg
21,7,EZETIMIBE/SIMVASTATINE ZENTIVA 10 mg/40 mg Cpr Plq/30 | Cip : 3400930114797 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Commercialisé,10 mg/40 mg Cpr Plq/30
22,7,EZETIMIBE/SIMVASTATINE ZENTIVA 10 mg/40 mg Cpr Plq/90 | Cip : 3400930114810 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Commercialisé,10 mg/40 mg Cpr Plq/90
23,7,EZETIMIBE/SIMVASTATINE ZENTIVA 10 mg/20 mg Cpr Plq/30 | Cip : 3400930114759 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Commercialisé,10 mg/20 mg Cpr Plq/30
24,7,EZETIMIBE/SIMVASTATINE ZENTIVA 10 mg/20 mg Cpr Plq/90 | Cip : 3400930114773 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Commercialisé,10 mg/20 mg Cpr Plq/90
25,8,comprimé (blanc) ; boîte de 30,10 mg/20 mg
26,8,comprimé (blanc) ; boîte de 90,10 mg/20 mg
27,8,comprimé (blanc) ; boîte de 30,10 mg/40 mg
28,8,comprimé (blanc) ; boîte de 90,10 mg/40 mg
29,8,EZETIMIBE/SIMVASTATINE ZYDUS 10 mg/40 mg Cpr Plq PVC/Aclar/Alu/30 | Cip : 3400930158746 ; Modalités de conservation : Avant ouverture : durant 24 mois | Statut: Commercialisé,10 mg/40 mg Cpr Plq PVC/Aclar/Alu/30
30,8,EZETIMIBE/SIMVASTATINE ZYDUS 10 mg/40 mg Cpr Plq PVC/Aclar/Alu/90 | Cip : 3400930158760 ; Modalités de conservation : Avant ouverture : durant 24 mois | Statut: Commercialisé,10 mg/40 mg Cpr Plq PVC/Aclar/Alu/90
31,8,EZETIMIBE/SIMVASTATINE ZYDUS 10 mg/20 mg Cpr Plq PVC/Aclar/Alu/30 | Cip : 3400930158609 ; Modalités de conservation : Avant ouverture : durant 24 mois | Statut: Commercialisé,10 mg/20 mg Cpr Plq PVC/Aclar/Alu/30
32,8,EZETIMIBE/SIMVASTATINE ZYDUS 10 mg/20 mg Cpr Plq PVC/Aclar/Alu/90 | Cip : 3400930158623 ; Modalités de conservation : Avant ouverture : durant 24 mois | Statut: Commercialisé,10 mg/20 mg Cpr Plq PVC/Aclar/Alu/90
33,9,comprimé (blanc) ; boîte de 28,10 mg
34,9,comprimé (blanc) ; boîte de 90,10 mg
35,9,"EZETROL 10 mg Cpr Plq/90 [IT3] | Cip : 3400949003594 ; Modalités de conservation : Avant ouverture : < 30° durant 36 mois (Conserver dans son emballage, Conserver à l'abri de l'humidité) | Statut: Supprimé",10 mg Cpr Plq/90 [IT3]
36,9,"EZETROL 10 mg Cpr Plq/90 [IT2] | Cip : 3400949003082 ; Modalités de conservation : Avant ouverture : < 30° durant 36 mois (Conserver dans son emballage, Conserver à l'abri de l'humidité) | Statut: Supprimé",10 mg Cpr Plq/90 [IT2]
37,9,"EZETROL 10 mg Cpr Plq/90 [IT1] | Cip : 3400949003136 ; Modalités de conservation : Avant ouverture : < 30° durant 36 mois (Conserver dans son emballage, Conserver à l'abri de l'humidité) | Statut: Supprimé",10 mg Cpr Plq/90 [IT1]
38,9,"EZETROL 10 mg Cpr Plq/28x1 | Cip : 3400936227071 ; Modalités de conservation : Avant ouverture : < 30° durant 36 mois (Conserver dans son emballage, Conserver à l'abri de l'humidité) | Statut: Commercialisé",10 mg Cpr Plq/28x1
39,9,"EZETROL 10 mg Cpr Plq/90 | Cip : 3400939170060 ; Modalités de conservation : Avant ouverture : < 30° durant 36 mois (Conserver dans son emballage, Conserver à l'abri de l'humidité) | Statut: Commercialisé",10 mg Cpr Plq/90
40,9,"EZETROL 10 mg Cpr Plq/50 | Cip : 3400956810970 ; Modalités de conservation : Avant ouverture : < 30° durant 36 mois (Conserver dans son emballage, Conserver à l'abri de l'humidité) | Statut: Supprimé",10 mg Cpr Plq/50
41,10,comprimé (brun clair) ; boîte de 30,10 mg/20 mg
42,10,comprimé (brun clair) ; boîte de 90,10 mg/20 mg
43,10,comprimé (brun clair) ; boîte de 30,10 mg/40 mg
44,10,comprimé (brun clair) ; boîte de 90,10 mg/40 mg
