id,medicament_id,nom_substance
1,1,ranibizumab
2,2,immunoglobulines humaines anti-CMV
3,3,toxine botulinique type A
4,4,mirdamétinib
5,5,sufentanil citrate
6,6,Ézétimibe
7,6,Simvastatine
8,6,ézétimibe
9,6,simvastatine
10,7,Ézétimibe
11,7,Simvastatine
12,7,ézétimibe
13,7,simvastatine
14,8,Ézétimibe
15,8,Simvastatine
16,8,ézétimibe
17,8,simvastatine
18,9,Ézétimibe
19,9,ézétimibe
20,10,Ézétimibe
21,10,Simvastatine
22,10,ézétimibe
23,10,simvastatine
24,11,Ézétimibe
25,11,Simvastatine
26,11,ézétimibe
27,11,simvastatine
28,12,Ézétimibe
29,12,Simvastatine
30,12,ézétimibe
31,12,simvastatine
32,13,Ézétimibe
33,13,Simvastatine
34,13,ézétimibe
35,13,simvastatine
36,14,Ézétimibe
37,14,Simvastatine
38,14,ézétimibe
39,14,simvastatine
40,15,Ézétimibe
41,15,Simvastatine
42,15,ézétimibe
43,15,simvastatine
44,16,Ézétimibe
45,16,Simvastatine
46,16,ézétimibe
47,16,simvastatine
48,17,Ézétimibe
49,17,Simvastatine
50,17,ézétimibe
51,17,simvastatine
52,18,Ézétimibe
53,18,Simvastatine
54,18,ézétimibe
55,18,simvastatine
56,19,Ézétimibe
57,19,Simvastatine
58,19,ézétimibe
59,19,simvastatine
60,20,Ézétimibe
61,20,Atorvastatine
62,20,ézétimibe
63,20,atorvastatine calcique trihydrate
64,21,Ézétimibe
65,21,Atorvastatine
66,21,ézétimibe
67,21,atorvastatine calcique trihydrate
68,22,Ézétimibe
69,22,Atorvastatine
70,22,ézétimibe
71,22,atorvastatine calcique trihydrate
72,23,Ézétimibe
73,23,Simvastatine
74,23,ézétimibe
75,23,simvastatine
76,24,Ézétimibe
77,24,Simvastatine
78,24,ézétimibe
79,24,simvastatine
80,25,ézétimibe
81,25,atorvastatine calcique trihydrate
82,26,Ézétimibe
83,26,Atorvastatine
84,26,ézétimibe
85,26,atorvastatine calcique trihydrate
86,27,Ézétimibe
87,27,Atorvastatine
88,27,ézétimibe
89,27,atorvastatine calcique trihydrate
90,28,Ézétimibe
91,28,Atorvastatine
92,28,ézétimibe
93,28,atorvastatine calcique trihydrate
94,29,Ézétimibe
95,29,Atorvastatine
96,29,ézétimibe
97,29,atorvastatine calcique trihydrate
98,30,Ézétimibe
99,30,ézétimibe
100,31,Ézétimibe
101,31,ézétimibe
102,32,Ézétimibe
103,32,ézétimibe
104,33,Ézétimibe
105,33,ézétimibe
106,34,Ézétimibe
107,34,ézétimibe
108,35,Ézétimibe
109,35,ézétimibe
